Team,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Eastern Illinois,0.257,0.354,0.515,48.9,50.9,10,8.8,0.493,17.4,28.7,0.169
Eastern Kentucky,0.255,0.4,0.544,47.5,52.9,13.3,9.2,0.519,14.6,26.7,0.18
Eastern Michigan,0.303,0.382,0.514,46.7,44.2,12.5,7,0.475,15.2,25.1,0.226
E Washington,0.302,0.401,0.574,50.7,54.4,6.9,7.3,0.538,14.4,23.4,0.238
Elon,0.245,0.436,0.516,50.7,45.9,8.5,6.7,0.485,15.3,25,0.182
Evansville,0.254,0.49,0.556,45.6,51,7.7,6.3,0.532,15.8,19,0.182
Fairfield,0.341,0.355,0.493,50.6,46.7,7,6.1,0.454,17.1,28.1,0.237
Fairleigh Dickinson,0.311,0.361,0.548,47.8,44.5,10.4,10.4,0.518,17.1,28.7,0.221
Florida A&M,0.298,0.269,0.511,49.9,53,9.2,6.8,0.486,20.8,30.2,0.194
Florida Atlantic,0.289,0.417,0.56,55.4,51.4,10.7,7.7,0.542,16.6,34,0.191
Florida Gulf Coast,0.241,0.443,0.515,50.9,50.9,10.3,11.2,0.494,17.4,29.9,0.16
Florida International,0.244,0.509,0.535,46,56.2,11.4,10,0.515,17.5,26.2,0.163
Florida State,0.327,0.355,0.575,53.2,51.9,10.4,14.6,0.544,17.3,35.5,0.241
Florida,0.338,0.338,0.562,50.8,45,10.3,14.4,0.525,18.2,30.7,0.256
Fordham,0.275,0.411,0.448,43.5,59.5,9.7,7,0.414,18.8,19.2,0.184
Fresno State,0.376,0.387,0.524,52.4,45.1,9.8,8.7,0.492,18.5,31,0.251
Furman,0.266,0.472,0.589,51.6,57,11.5,9.5,0.568,15.6,27.2,0.192
Gardner-Webb,0.3,0.439,0.549,49.5,52.1,8.8,14.7,0.524,15.4,26.7,0.207
George Mason,0.293,0.362,0.511,51.9,49.7,10.2,11.5,0.488,15.5,30.2,0.188
George Washington,0.361,0.339,0.533,49.3,47.2,9.1,7,0.498,17.6,24.5,0.252
Georgetown,0.303,0.388,0.533,53.4,51.7,8.4,10.4,0.496,18.6,32.4,0.228
Georgia Southern,0.301,0.396,0.53,51.9,46.9,11.5,11.3,0.51,17.6,32.5,0.191
Georgia State,0.307,0.359,0.556,50.4,56.9,9.8,12.2,0.532,13.8,31.3,0.21
Georgia Tech,0.29,0.369,0.566,47.2,57.7,13.2,9.3,0.538,14.3,24.7,0.211
Georgia,0.345,0.318,0.54,50.8,53,11.1,6.3,0.509,18.9,33.1,0.238
Gonzaga,0.366,0.323,0.633,55.3,53.6,11,7.1,0.61,14.3,30.4,0.266
Grambling,0.421,0.287,0.513,48.5,60,11.2,8.4,0.476,19.1,25.4,0.28
Grand Canyon,0.322,0.358,0.574,57,57.4,7.1,9,0.551,16.6,32.2,0.221
Green Bay,0.273,0.339,0.526,47.6,53.7,7.9,9.3,0.492,13.6,25.7,0.204
Hampton,0.286,0.388,0.527,46,47.2,8.7,16.1,0.495,16.3,22.1,0.207
Hartford,0.286,0.425,0.533,48.9,46.6,10.5,6.1,0.504,17,24.8,0.204
Harvard,,,,,,,,,,,
Hawaii,0.311,0.377,0.542,52.7,46.1,8.1,3.8,0.51,17.3,30.3,0.224
High Point,0.383,0.292,0.499,51,51.8,9.7,12.5,0.458,15.9,32,0.263
Hofstra,0.332,0.393,0.542,50,49.2,9.5,7.9,0.508,15.2,29.3,0.238
Holy Cross,0.261,0.33,0.529,47.1,45.6,9.8,10.1,0.503,16.2,26.5,0.182
Houston Baptist,0.279,0.396,0.528,47.1,55.7,9.4,9.5,0.496,19.9,25.4,0.205
Houston,0.305,0.423,0.548,56.3,50.9,12.3,14.6,0.515,13.6,39.6,0.225
Howard,0.389,0.435,0.541,47.2,60.2,7.1,12.8,0.502,17.7,22.9,0.279
Idaho State,0.393,0.396,0.547,54.7,48.8,6.7,9.3,0.509,19.3,32.3,0.28
Idaho,0.296,0.316,0.52,46.6,54.4,7.3,5.5,0.485,21.8,22,0.214
Illinois-Chicago,0.228,0.418,0.516,48.4,53.2,5.2,7,0.497,16.8,23.4,0.15
Illinois State,0.252,0.383,0.544,49.5,50.8,8.4,9.3,0.526,17.3,23.8,0.167
Illinois,0.388,0.306,0.583,57.3,55.7,8,7,0.558,16.1,33,0.267
Incarnate Word,0.337,0.382,0.547,47.1,51.3,7.8,4.7,0.516,18.4,23.9,0.237
Indiana State,0.359,0.333,0.53,48.9,46,9.8,8.7,0.489,16.2,25,0.264
Indiana,0.415,0.323,0.521,49,57.5,8.3,10.5,0.485,15.1,25.3,0.275
Iona,0.361,0.376,0.551,54.4,56,9.8,11.9,0.512,19.3,33.4,0.268
Iowa State,0.196,0.386,0.51,45.4,47,9.2,8.1,0.48,18.8,24.3,0.154
Iowa,0.32,0.399,0.573,52,64.3,7.8,11.6,0.546,11.5,30.7,0.228
Purdue-Fort Wayne,0.302,0.405,0.6,49.3,52,9.4,7.5,0.582,21.4,26.2,0.208
IUPUI,0.305,0.389,0.523,48.6,52.9,9.5,5.9,0.49,17,25.4,0.219
Jackson State,0.421,0.293,0.491,51.2,47.9,11.4,8.4,0.446,18.7,28.9,0.286
Jacksonville State,0.316,0.393,0.556,53.4,53,7.3,9.8,0.531,16.6,32.3,0.217
Jacksonville,0.34,0.398,0.529,48,46.6,9.8,7.4,0.502,18.3,24.8,0.226
James Madison,0.386,0.405,0.549,50.2,50.8,10.3,6.4,0.521,14.6,29.4,0.258
Kansas State,0.289,0.409,0.5,49.9,58.1,8.3,4.7,0.472,19.4,29.7,0.192
Kansas,0.305,0.363,0.533,52.5,52,9.8,11.2,0.502,15.3,31.3,0.217
Kennesaw State,0.296,0.387,0.507,50,45.5,8.2,6.7,0.481,18,25.5,0.195
Kent State,0.277,0.396,0.544,53.7,52,9.5,9.1,0.508,16.1,34.8,0.216
Kentucky,0.345,0.322,0.513,51.2,50.7,8.9,14.9,0.471,16.9,32.6,0.251
La Salle,0.242,0.394,0.525,48.5,50.2,10.6,9.4,0.503,18.2,26.8,0.166
Lafayette,0.303,0.386,0.549,47.3,60,8.6,7.9,0.506,13.3,23.7,0.244
Lamar,0.308,0.277,0.5,48.4,49.6,10.1,11.1,0.46,17.7,26.4,0.226
Lehigh,0.279,0.256,0.502,49.4,49.2,8.3,5.6,0.471,16.1,24.9,0.195
