Team,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,Reb,Ast,TO,Stl,Blk,PF,Pts
Loyola (MD),27,58.1,46.5,5.4,17.4,31.2,12.7,20.9,60.6,11.1,26.6,37.7,13.1,14.6,7.1,3.3,18.4,72.1
Memphis,26,59.1,44,7.5,21,35.4,12.5,20.2,62.1,12.2,27.7,39.9,16,16.3,9,4.9,19.5,72.1
CSU Northridge,25.5,60.1,42.3,7.7,22.9,33.8,13.5,18.5,72.7,9.5,23.7,33.2,13.3,11.9,6.4,2.1,17.4,72.1
Utah,26.2,55.9,46.9,6.9,19.4,35.5,12.8,16.1,79.2,7.4,23.9,31.3,15.1,12.6,5.4,3.4,16.8,72.1
Virginia Tech,25.4,56.3,45.1,8.2,23.1,35.7,13,18.7,69.7,9.4,25.7,35.1,14.4,11.6,4.8,4,16.1,72.1
Army,26.8,58.2,46,7.9,23.9,33.1,10.4,16.4,63.5,8,26.5,34.6,14.2,12.6,6.3,1.4,15.5,72
Illinois St.,27.2,59,46,7.8,22.6,34.6,9.8,14.9,66.1,8.3,26.9,35.2,13.8,13.9,6,3.3,16.4,72
Stetson,25.7,58.8,43.7,9.4,24.9,37.9,11.2,16,69.8,10.4,24.5,34.9,14,13.2,7.1,2.7,16.2,72
VCU,25.5,56.2,45.3,6.5,19.7,32.9,14.5,19.1,76.1,9.6,24.8,34.4,13.5,14.8,9.4,5.4,18.7,72
UC Davis,24.9,56.7,44,5.7,17.5,32.4,16.4,20.9,78.5,8.9,22.8,31.7,10.8,14.4,7.5,2.8,19.9,71.9
Vanderbilt,24.4,56.6,43,9.3,26.7,34.9,13.7,18.6,73.6,9.9,23.8,33.7,12.7,13.8,7,2.6,17.6,71.8
Florida Gulf Coast,26.8,62.6,42.9,8.1,27.7,29.3,10,15.1,66.4,11.6,27.3,38.9,13.7,14.7,7.4,4.3,15.6,71.8
Hawaii,25.4,57.5,44.2,7.8,21.7,36,12.9,17.9,72.1,10.3,25.5,35.8,11.7,13.8,5.7,1.5,16.7,71.6
Wisc. Green Bay,26.2,60.3,43.5,6.8,20.4,33.3,12.3,16.4,74.9,9.2,23.6,32.8,14.1,10.8,5.5,3.6,16.2,71.6
Cleveland State,26.3,58.2,45.2,6.4,20,31.9,12.5,18.6,66.9,10.7,24.3,35,14,12.9,7,2.5,19.2,71.5
Drexel,26.1,54.6,47.7,7.3,19.5,37.2,12.1,15.6,77.7,8.8,25.1,33.9,15.2,12.9,4.7,2.4,15.2,71.5
Georgia Southern,26.4,59.1,44.7,7.5,23.4,31.9,11.3,17.8,63.5,11.9,25.2,37.1,12.4,14.4,8.1,3.9,17.1,71.5
Loyola Chicago,26.3,52,50.5,7.2,19.5,36.8,11.8,16.4,72.3,7.3,25.4,32.6,15.8,11.9,6.9,2.4,14.3,71.5
Navy,25.9,57.9,44.7,6.2,18.9,32.6,13.6,19.1,70.9,11.3,23.7,35.1,12.3,12.4,8.2,2.4,16.7,71.5
Boston Coll.,25,59.3,42.2,9,27.3,33,12.4,17.6,70.2,9.4,23.9,33.3,11.5,13.9,7.2,3.9,16.2,71.4
Georgetown,24.8,58.5,42.4,8.3,22.7,36.6,13.4,17.7,75.4,11.7,28.5,40.2,12.8,15.3,5.9,3.9,15.9,71.4
Rhode Island,25.4,57.4,44.2,5.7,18.3,31.2,14.9,22.3,66.8,10.7,27.8,38.5,12.1,14.1,6.6,4.6,17.8,71.4
San Francisco,25.9,60.6,42.7,10.4,30.5,34,9.3,13,71.7,9,24.2,33.2,11.9,11.8,7.2,3.3,19.3,71.4
UC San Diego,26.3,57.2,45.9,11.1,29.4,37.6,7.8,12.2,63.8,5.9,23.5,29.5,17.3,13.2,6.8,2.2,13.6,71.4
Northern Kentucky,26.3,59,44.6,7.2,23.4,30.7,11.6,16.4,70.5,12.2,22.6,34.8,11.8,12.5,6.4,1.6,16.7,71.4
